Episode,D-PER-DDQN,PER-DDQN,MS-DDQN
455,214.0,18,-24.741957808716364
456,240.0,20,-22.500000000000007
457,232.0,15,-14.400000000000006
458,240.04585891796944,18,-0.9000000000000021
459,230.0,19,-19.60000000000001
460,235.0,18,-275.18776514242023
461,235.0,20,-293.20000000000016
462,230.0,20,2.8000000000000007
463,230.0,13,-38.18585382406197
464,242.68851287403984,13,-13.70000000000001
465,219.0,20,-2.3102295113645646
466,235.0,13,-18.800000000000004
467,230.0,15,-19.150844169925854
468,235.0,16,-18.700000000000003
469,230.0,14,2.8000000000000007
470,245.0,15,-5.540155538155062
471,237.97553028484006,20,2.8000000000000007
472,211.0,15,-11.100000000000001
473,217.0,20,-14.100000000000001
474,240.0,8,2.8000000000000007
475,230.0,14,-12.5
476,207.97101381571392,13,-0.9122348575799748
477,222.0,18,3.8000000000000007
478,227.0,17,-4.300000000000004
479,217.0,20,3.8000000000000007
480,230.0,20,-11.5
481,230.0,13,-6.100000000000001
482,235.0,20,-38.80000000000002
483,227.0,15,2.8000000000000007
484,235.0,12,-1.6333339697121723
485,258.62277660168377,16,-23.056739766575944
486,235.0,18,-31.800000000000004
487,227.0,18,-0.5289321881345259
488,225.0,14,-7.924396703985931
489,235.0,20,-1.9000000000000057
490,219.0,15,-19.000000000000007
491,230.0,10,-32.10000000000001
492,235.0,18,2.8000000000000007
493,244.4020588679326,19,-15.000000000000007
494,232.0,20,-6.327024500895416
495,235.0,16,-10.100000000000001
496,235.0,-14,0.21414617593804053
497,228.0477796613025,6,-24.000000000000007
498,222.0,18,-2.3999999999999986
499,229.42829235187605,18,-9.341957808716355
